Cod_Loc,IdProvincia,IdDepartamento,Observaciones,categoria,subcategoria,provincia,localidad,nombre,direccion,piso,CP,cod_area,telefono,Mail,Web,Latitud,Longitud,TipoLatitudLongitud,Info_adicional,fuente,jurisdiccion,año_inauguracion,IDSInCA
06224010,06,06224,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chivilcoy,Museo De Artes Plásticas Pompeo Boggio,Bolívar 319,,B6620HBG,2346,422 113,culturachivilcoy@hotmail.com,,-34.8913660,-60.0227530,Localización precisa,,DNPyM,Municipal,1962,300119
06224010,06,06224,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chivilcoy,Museo Histórico Municipal F. A. Castagnino,9 de Julio 177,,B6620FKC,2346,422 185,,,-34.9003770,-60.0188830,Localización precisa,,DNPyM,Municipal,1943,300120
06224010,06,06224,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chivilcoy,Museo Arqueológico Municipal,9 de Julio 177,,B6620FKC,2346,422 185,,,-34.8952420,-60.0227720,Localización precisa,,DNPyM,Municipal,1973,300121
06840010,06,06840,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ciudadela,Museo Histórico Del Ejército Argentino,Carlos Pellegrini 4000,,B1702BDV,11,4653 1818,museoejercito@gmail.com,www.dahe.ejercito.mil.ar,-34.6311000,-58.5433000,Localización precisa,,DNPyM,Nacional,1993,300262
06833020,06,06833,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Claromeco,Museo Regional De Claromecó Aníbal Paz,Calle 28 Entre 9 y 11 S/N,,7505,2982,480 213,museoclaromeco@gimeil.com,,-38.8582680,-60.0744910,Localización precisa,,DNPyM,Provincial,2007,300263
06119050,06,06119,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Brandsen,Micro Cosmo Museum 1Er. Complejo Museístico Mundial Del Microcosmos,Azcuénaga 926,,B1980EIT,2223,344 5628,,,-35.1703890,-58.2382460,Localización precisa,,DNPyM,Privada,2002,300307
06189030,06,06189,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Dorrego,Museo Regional Dr. Carlos Funes Derieul,Maciel 555,,B8150CSK,2921,409 228,,,-38.7176140,-61.2880430,Localización precisa,,DNPyM,Municipal,1969,300308
06196010,06,06196,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Antimuseo Pillahuincó,Cabrera 455,,B7530DJI,2922,462 680,,,-37.9844080,-61.3488390,Localización precisa,,DNPyM,Municipal,,300310
06196010,06,06196,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Agrario Y De Transporte,Sáenz Peña y Stagmann,,7530,2922,406 2680,,,-37.9841220,-61.3567870,Localización precisa,,DNPyM,Municipal,,300311
06196010,06,06196,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo De Ciencias Naturales,Alem 1375,,B7530ALE,2922,463 688,,,-37.9835590,-61.3485440,Localización precisa,,DNPyM,Mixta: Privada/Municipal,1909,300312
06196010,06,06196,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Municipal De Bellas Artes,Juan P. Cabrera 455,,B7530DJI,2922,462 680,,,-37.9887990,-61.3540540,Localización precisa,,DNPyM,Municipal,1909,300313
06196010,06,06196,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Pringles De Arqueología E Historia,Alvear Entre Colón y España,,7530,2922,462 459,,,-37.9887990,-61.3540540,Localización precisa,,DNPyM,Privada,1971,300314
06196010,06,06196,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Miguel G. Flesia,Stegmann 1032,,B7530DBV,2922,466 166 INT 32,,,-37.9831310,-61.3580560,Localización precisa,,DNPyM,Municipal,1986,300315
06238010,06,06238,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Dolores,Museo Histórico Provincial Libres Del Sur,Juan Bautista Selva 390,,B7100BIH,2245,442 730,,,-36.3186650,-57.6752170,Localización precisa,,DNPyM,Provincial,1940,300330
06238010,06,06238,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Dolores,Museo Del Colegio Nacional Aristóbulo Del Valle,Crámer 450,,B7100ADJ,2245,446 276,,,-36.3186420,-57.6728500,Localización precisa,,DNPyM,Provincial,1991,300331
06392040,06,06392,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Emilio V. Bunge,Museo Comunal Pedro Bargero,Gobernador Arias 496,,B6241AIJ,3388,493 535,bargero@servicoopsa.com.ar,,-34.7821910,-63.1960460,Localización precisa,,DNPyM,Municipal,1984,300348
06245010,06,06245,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ensenada,Museo Y Biblioteca Juan Guarnieri - Casa Huarpe,Leandro N. Alem 1081,,B1925BNS,221,460 2370,,,-34.8503960,-57.9204200,Localización precisa,,DNPyM,Privada,,300349
06245010,06,06245,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ensenada,Museo Histórico Fuerte De La Ensenada De Barragán,Avda. Almirante Brown y Calle 60 Punta Lara,,1925,221,469 1642,,,-34.8215000,-57.9661000,Localización precisa,,DNPyM,Municipal,1965,300350
06245010,06,06245,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ensenada,Museo Contraalmirante Rafael E. Chalier,Río Santiago - Escuela Naval Militar,,1927,221,4317 2396,,,-34.8416500,-57.8933650,Localización precisa,,DNPyM,Nacional,1979,300351
06274010,06,06274,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Florencio Varela,Museo Histórico Provincial Guillermo E. Hudson,"Calle 1356 (El Zaino), Entre Av. Hudson y 1379",,1888,2229,497 314,,,-34.8020800,-58.2644980,Localización precisa,,DNPyM,Provincial,,300369
06861010,06,06861,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Florida,Museo De La Piedra Argentina,Esteban Echeverría 333,,1602,11,4760 9138,,,-34.5330000,-58.4909000,Localización precisa,,DNPyM,Privada,1975,300370
06861010,06,06861,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Florida,Museo Forrajeria De La Familia García,Gral. José María Paz 1584,,B1602AYD,11,4796 9556,,,-34.5268680,-58.4916320,Localización precisa,,DNPyM,Privada,2001,300371
06301010,06,06301,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,General Belgrano,Museo Histórico Municipal Alfredo E. Múlgura,Avda. Larrea 454,,B7223GUO,,,,,-35.7691210,-58.4934130,Localización precisa,,DNPyM,Municipal,2001,300385
06322010,06,06322,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Gral. la Madrid,Archivo Y Museo Histórico Juan Carlos Pacín,San Martín 545,,B7406AMK,,,,,-37.2526950,-61.2595620,Localización precisa,,DNPyM,Municipal,1987,300394
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Historia De La Medicina Dr. Santiago Garostiague,Avda. 60 y 120 Facultad de Ciencias Médicas,,1900,221,424 1596 INT 374,,,-34.9095350,-57.9289530,Localización precisa,,DNPyM,Nacional,,300451
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Y Galería Fotográfica Mugafo Centro Cultural Islas Malvinas,Calle 19 E/ 50 y 51,,B1900TQU,221,417 6795,,,-34.9262570,-57.9616840,Localización precisa,,DNPyM,Municipal,,300452
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Anatomía Veterinaria Dr. Víctor Manuel Arroyo,Calle 60 y 118,,B1904AAO,221,423 6663 INT 424,,,-34.9111400,-57.9307490,Localización precisa,,DNPyM,Nacional,,300453
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Historia Militar Teniente General Julio Argentino Roca,Calle 137 y 635,,1909,221,450 1214,rimec7@uolsinectis.com.ar,,-35.0010530,-57.9022840,Localización precisa,,DNPyM,Nacional,,300454
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Almafuerte,Calle 66 530,,B1904ASJ,221,427 5631,,,-34.9246000,-57.9331000,Localización precisa,,DNPyM,Municipal,1909,300455
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Provincial De Bellas Artes Emilio Pettoruti,Avda. 51 N° 525 E/5 y 6,,B1900AVK,221,421 8619,,,-34.9137730,-57.9476920,Localización precisa,,DNPyM,Provincial,1926,300456
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Pictórico Indigenista Yana Kúntur,"Calle 516, N°2479 Entre 19 y 20",,1900,221,484 2526,rodinfq@usa.net,,-34.8989000,-58.0002000,Localización precisa,,DNPyM,Privada,1966,300457
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Instrumentos Musicales Dr. Emilio Azzarini,Calle 45 Nro. 582,,B1900ADX,221,424 0401,museo azzarini@hotmail.com,,-34.9113000,-57.9537000,Localización precisa,,DNPyM,Nacional,1989,300458
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De La Artesanía Tradicional Argentina Y Latinoamericanajuan Alfonso Carrizo,Calle 2 N° 417,,B1902CHQ,221,424 4684,,,-34.9111000,-57.9433000,Localización precisa,,DNPyM,Privada,1990,300459
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo José Juan Podestá,10 N° 727 Entre 46 y 47,,B1900TIY,221,424 8457,,,-34.9151200,-57.9561690,Localización precisa,,DNPyM,Municipal,1995,300460
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Arte Contemporáneo Latinoamericano (Macla),50 E/ 6 y 7 Pasaje Dardo Rocha,,B1900ASW,221,427 1843,,,-34.9201840,-57.9411660,Localización precisa,,DNPyM,Municipal,2003,300461
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Gráfico E Histórico Del Club De Gimnasia Y Esgrima La Plata,4 N° 979,,B1900TDT,221,422 2510,,,-34.9130270,-57.9452490,Localización precisa,,DNPyM,Privada,2004,300462
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Del Automóvil Colección Rau,Av. 1 Nº 121 Entre 34 y 35,,B1902CGC,221,427 6660,,,-34.8965970,-57.9604060,Localización precisa,,DNPyM,Privada,2010,300463
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De La Plata,Paseo del Bosque S/N,,1900,221,423 4910,,,-34.9106000,-57.9416000,Localización precisa,,DNPyM,Nacional,1888,300464
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Municipal De Arte,Calle 50 Entre 6 y 7. Pasaje Dardo Rocha,,B1900ASW,221,423 5033,museomumart@yahoo.com.ar,,-34.9143000,-57.9493000,Localización precisa,,DNPyM,Municipal,1905,300465
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Y Archivo Dardo Rocha,Calle 50 N° 933,,B1900ATK,,,,,-34.9212000,-57.9566000,Localización precisa,,DNPyM,Municipal,1952,300466
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Eclesiástico Catedral,Calle 14 Entre 51 y 53,,B1900DVL,221,427 3504,museo-catedral@yahoo.com.ar,www.catedraldelaplata.com,-34.9222000,-57.9557000,Localización precisa,,DNPyM,Provincial,1977,300467
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Arte Contemporáneo Beato Angélico,Calle 47 Entre 16 y Diag. 73,,B1900AKQ,221,424 8906,museobangelico@ucalp.edu.ar,www.ucalp.edu.ar,-34.9216000,-57.9616000,Localización precisa,,DNPyM,Privada,1980,300468
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Archivo Histórico Y Museo Del Servicio Penitenciario Bonaerense,35 N° 535 E/ 5 y 6,,B1902BBU,221,429 3892,,,-34.9014630,-57.9640680,Localización precisa,,DNPyM,Provincial,1994,300469
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Física,"Calle 115, Entre 49 y 50 S/N",,1900,221,424 6062,,,-34.9079130,-57.9428860,Localización precisa,,DNPyM,Nacional,1998,300470
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Del Tango Platense Oscar A. Bozzarelli,15 Nº 1579,,B1904CTG,221,424 2698,,,-34.9323140,-57.9447320,Localización precisa,,DNPyM,Privada,1999,300471
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Odontología Orestes Walter Siutti,50 E/ 1 y 15 - Facultad de Odontología,,1900,221,423 6777,,,-34.9083290,-57.9430540,Localización precisa,,DNPyM,Nacional,2001,300472
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Calcos,"Diagonal 78 N 680, Oficina 16",,B1904BTD,221,427 6304,,,-34.9223390,-57.9417900,Localización precisa,,DNPyM,Nacional,2004,300473
06441030,06,06441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Policial,Calle 54 N° 393 Entre 2 y 3,,B1900BDO,221,423 1876,,,-34.9120750,-57.9420170,Localización precisa,,DNPyM,Provincial,2007,300474
06357120,06,06357,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Laguna de Los Padres,Museo Municipal José Hernández,"Ruta 226 Km. 14,5",,B7601XAD,223,463 1394,,,-37.9564430,-57.7716280,Localización precisa,,DNPyM,Municipal,1964,300489
06469080,06,06469,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lincoln,Museo Enrique Urcola,Avdea. 9 de Julio 260,,B6070ACP,2355,421 262,,,-34.8714000,-61.5291410,Localización precisa,,DNPyM,Privada,,300514
06476030,06,06476,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Loberia,Museo De Ciencias Naturales Gesué P. Noseda,Alvear 181,,B7635BWC,2261,442 227,,,-38.1675050,-58.7846470,Localización precisa,,DNPyM,Privada,1960,300517
06483040,06,06483,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lobos,Museo Y Biblioteca Provincial Presidente Juan Domingo Perón,Pte. Perón 482,,B7240AAJ,2227,422 843,,,-35.1903490,-59.0971690,Localización precisa,,DNPyM,,,300518
06497060,06,06497,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lujan,Complejo Museográfico Provincial Enrique Udaondo,"Calle Lavalle 917, Entre Lezica y Torrezuri",,B6700ANU,2323,420 245,,,-34.5730230,-59.1095530,Localización precisa,,DNPyM,Provincial,1927,300522
06497060,06,06497,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lujan,Museo Municipal De Bellas Artes Fernán Félix De Amador,9 de Julio 863,,B6700CDM,2323,420 755,,,-34.5637000,-59.1205000,Localización precisa,,DNPyM,Municipal,1963,300523
06357110,06,06357,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Centro Cultural Victoria Ocampo,Matheu 1851,,B7602GAK,223,492 0569,gestion@cultura.mardelplata.cultura.com.ar,,-38.0199000,-57.5528000,Localización precisa,,DNPyM,Municipal,,300534
06357110,06,06357,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Museo Municipal De Arte Juan Carlos Castagnino,Avda. Colón 1189 - Villa Ortiz Basualdo,,B7600FXE,223,486 1636,,,-38.0105980,-57.5359270,Localización precisa,,DNPyM,Municipal,1949,300535
06357110,06,06357,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Museo Municipal De Ciencias Naturales Lorenzo Scaglia,Avda. Libertad 3099,,B7600HJB,223,473 8791,,,-37.9556660,-57.6174660,Localización precisa,,DNPyM,Municipal,1939,300536
06357110,06,06357,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Archivo Museo Histórico Municipal Roberto T. Barili,Lamadrid 3870,,B7602CQV,223,495 1200,,,-38.0208000,-57.5528000,Localización precisa,,DNPyM,Municipal,1969,300537
06525020,06,06525,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Marcos Paz,Museo De Arte Hispano Luso Americano Y Del Folklore,Hipólito Irigoyen 377,,B1727BAG,220,477 1110,,,-34.7843000,-58.8326000,Localización precisa,,DNPyM,Privada,1948,300538
06756010,06,06756,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Martínez,Museo Chavín De Huantar,Luis Sáenz Peña 2864,,B1640ITF,11,4798 1835,,,-34.4987000,-58.5006000,Localización precisa,,DNPyM,Privada,1971,300541
06280040,06,06280,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Miramar,Museo De La Región De Ansenuza Aníbal Montes,Sarmiento Esq. Urquiza,,X5143BQG,3563,493 621,,,-30.9135100,-62.6755070,Localización precisa,,DNPyM,Privada,,300562
06280040,06,06280,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Miramar,Museo Del Gran Hotel Viena De Miramar,Croacia S/N,,X5143BQG,,,,,-30.9049700,-62.6683710,Localización precisa,,DNPyM,Privada,,300563
06280040,06,06280,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Miramar,Museo Municipal Punta Hermengo,"Vivero Bosque ""Florentino Ameghino""",,7607,,,,,-38.2883780,-57.8497940,Localización precisa,,DNPyM,Municipal,1977,300564
06280040,06,06280,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Miramar,Museo Fotográfico De Miramar,Libertad 124,,X5143BQD,3563,493078,,,-30.9143020,-62.6766020,Localización precisa,,DNPyM,Privada,2000,300565
06260010,06,06260,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Monte Grande,Museo Histórico Municipal La Campana,"Deán Gregorio Funes 1221, B° la Morita",,1842,11,4290 0437,,,-34.8130000,-58.4584000,Localización precisa,,DNPyM,Municipal,1984,300568
06553020,06,06553,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Monte Hermoso,Museo Municipal De Ciencias Naturales,"Avda. Recalada 243,",,B8153CMC,2921,482 601,,,-38.9819450,-61.2999130,Localización precisa,,DNPyM,Municipal,1977,300569
06568010,06,06568,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Morón,Museo De La Catedral De Morón Inmaculada Concepción Del Buen Viaje,Gral. Manuel Belgrano 327,,B1708IFG,11,4629 0969,mensajes@catedraldemoron.org.ar,,-34.6521000,-58.6212000,Localización precisa,,DNPyM,,,300574
06568010,06,06568,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Morón,Museo Histórico Y De Arte Gral. José De San Martín,Casullo 59,,B1708IPA,11,4629 1456,arteycultura@moron.gov.ar,,-34.6492000,-58.6241000,Localización precisa,,DNPyM,Municipal,1955,300575
06568010,06,06568,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Morón,Museo Nacional De Aeronáutica Brig. Edmundo H. Civati Bernasconi,Avda. Eva Perón 2200,,B1708FEU,11,4697 9780,museonacionalaeronautica@yahoo.com.ar,,-34.6761000,-58.6380000,Localización precisa,,DNPyM,Nacional,1962,300576
